leg_black,treat_out,responded,totalpop,medianhhincom,black_medianhh,white_medianhh,blackpercent,statessquireindex,nonblacknonwhite,urbanpercent,leg_senator,leg_democrat,south
0,0,1,4.2383,3.2227,1.259,1.9496,.19741406,.071000002,0,.69801927,0,1,1
0,1,0,4.3425,4.2603,1.4539,2.2316,.091928616,.071000002,0,.28248778,0,0,1
0,0,1,12.2938,3.1602,1.4689,1.7015,.044030324,.071000002,0,.18380447,1,1,1
0,1,0,4.1796,3.6065,1.2707,1.9067,.10412481,.071000002,0,.45556059,0,1,1
0,0,0,4.2506,4.0421,1.6493,2.1343,.26822096,.071000002,0,.51484281,0,0,1
0,1,1,12.1893,2.8126,1.0719,1.55,.06370341,.071000002,0,.14131321,1,1,1
0,0,0,4.2636,3.0707,1.5101,1.6812,.11056384,.071000002,0,.064136624,0,1,1
0,1,0,4.2038,3.2728,1.1469,2.1423,.24080592,.071000002,0,.97336179,0,1,1
0,0,0,4.2233,3.6871,1.2148,1.7938,.028011272,.071000002,0,.27163973,0,1,1
0,0,0,4.3911,4.8063,1.6936,2.811,.13085559,.071000002,0,.95283288,0,0,1
0,1,0,4.347,3.4408,.6159,1.7695,.00147228,.071000002,0,.15640998,0,0,1
0,1,0,4.4528,3.1102,1.2582,1.6422,.016843336,.071000002,0,.27610165,0,1,1
0,0,0,4.1403,3.0427,.9883,1.7313,.071975462,.071000002,0,.39996788,0,1,1
0,0,0,4.1924,3.0262,1.0649,1.5616,.039476193,.071000002,0,.00020435271,0,1,1
0,1,0,13.3953,4.4004,1.2279,2.0942,.086724445,.071000002,0,.41270602,1,0,1
0,0,0,4.4664,4.7018,1.0828,2.0802,.061123051,.071000002,0,.35717633,0,0,1
0,1,0,12.863,5.3153,1.5268,3.0392,.082888909,.071000002,0,.63332075,1,0,1
0,1,0,4.1356,3.0824,1.0669,1.5991,.11289777,.071000002,0,.14006533,0,1,1
0,1,1,13.344,6.0316,2.5216,3.5304,.05003747,.071000002,0,.99286389,1,0,1
0,1,0,4.3892,2.7547,.9041,1.554,.028934658,.071000002,0,.10286111,0,1,1
1,0,0,4.3327,3.2206,1.3697,2.0522,.64167839,.071000002,0,.97557539,0,1,1
0,0,0,4.2898,6.8855,3.121,3.7233,.021935755,.071000002,0,.95534533,0,0,1
1,1,0,12.2916,3.1173,1.3995,1.9902,.64886588,.071000002,0,.99382967,1,1,1
0,0,1,4.3601,3.1263,1.1548,2.2547,.27020022,.071000002,0,.90615916,0,1,1
0,1,0,12.2606,3.2745,1.2078,1.8876,.24876434,.071000002,0,.4923062,1,1,1
0,0,0,4.3383,3.7469,1.4273,1.7594,.046239309,.071000002,0,.068127215,0,1,1
0,1,0,4.4492,3.1498,1.2018,1.6858,.042974018,.071000002,0,.29976699,0,1,1
0,0,0,4.5005,3.0949,1.538,1.6981,.016198199,.071000002,0,.16383602,0,0,1
1,1,0,12.184,2.4549,1.0884,2.1717,.61594713,.071000002,0,.46538585,1,1,1
0,1,0,4.3226,6.352,1.8013,2.6138,.14970157,.071000002,0,.79628152,0,0,1
0,0,0,13.3447,4.7176,1.5871,2.6425,.16460468,.071000002,0,.77722168,1,0,1
0,1,0,4.4708,3.0748,.6856,1.6425,.011988905,.071000002,0,.50942594,0,1,1
1,0,1,13.062,2.7894,1.1063,2.2423,.70515233,.071000002,0,.82575828,1,1,1
0,0,1,13.0842,2.9051,1.1533,1.8114,.22731231,.071000002,0,.60719442,1,1,1
0,1,0,4.2275,2.9031,1.2224,1.7327,.16598463,.071000002,0,.7002877,0,1,1
1,1,0,12.8031,2.4144,1.0407,1.8589,.55631059,.071000002,0,.3784084,1,1,1
0,1,0,4.2542,2.7467,.8762,1.6137,.18504067,.071000002,0,.55362165,0,1,1
0,1,0,12.3858,3.4694,1.0707,1.9673,.13978104,.071000002,0,.44844583,1,0,1
0,0,1,4.142,3.8332,1.3301,1.8641,.039690971,.071000002,0,.30090111,0,0,1
0,0,0,12.5752,3.1681,.9866,1.9039,.29811853,.071000002,0,.39011669,1,1,1
0,0,1,4.2517,3.6292,1.1661,1.958,.23541172,.071000002,0,.16671953,0,0,1
1,1,0,4.2279,2.3115,1.0086,1.7136,.58733648,.071000002,0,.67491311,0,1,1
0,0,0,4.292,3.1246,1.1018,1.7961,.2304986,.071000002,0,.43014202,0,0,1
0,0,0,4.456,3.646,1.017,1.6821,.014699283,.071000002,0,.10252981,0,0,1
0,1,0,4.2255,3.561,1.5114,1.8306,.12299136,.071000002,0,.6507414,0,1,1
0,0,1,12.5683,3.2942,1.0477,1.9615,.31398836,.071000002,0,.81994992,1,0,1
0,0,0,4.2656,3.698,1.5671,2.1705,.10071268,.071000002,0,.65805662,0,0,1
0,0,1,4.4308,2.8572,.98,1.549,.22883001,.071000002,0,.1050472,0,1,1
0,0,0,4.442,3.2629,1.0882,1.8732,.29466456,.071000002,0,.50871402,0,0,1
0,1,1,4.4319,3.0394,1.2171,1.5562,.051354948,.071000002,0,0,0,1,1
0,0,0,4.4359,3.2269,1.0151,1.624,.12599473,.071000002,0,.16526182,0,1,1
0,0,0,4.2468,5.0145,1.3797,2.3212,.1289206,.071000002,0,.88618279,0,0,1
0,1,0,4.0951,4.3405,1.6616,2.6128,.20507436,.071000002,0,.92430651,0,0,1
0,1,0,4.4759,6.754,2.3477,3.6775,.047990344,.071000002,0,.97376192,0,0,1
0,1,0,4.5005,5.133,1.9207,3.3151,.067481391,.071000002,0,1,0,0,1
0,1,1,4.4672,6.762,3.2001,4.3525,.033824317,.071000002,0,.89388502,0,0,1
0,1,0,4.4497,4.702,1.2496,2.1161,.095669374,.071000002,0,.63450509,0,0,1
0,1,0,4.1834,3.9341,1.1619,1.8947,.097337097,.071000002,0,.074803382,0,0,1
0,0,0,4.4517,4.5166,1.1434,2.0746,.065592922,.071000002,0,.65380007,0,0,1
1,1,0,4.2534,3.0512,1.3355,3.2353,.64901018,.071000002,0,.9765119,0,1,1
1,0,0,4.0627,2.9258,1.2197,1.8468,.67046547,.071000002,0,.92433566,0,1,1
1,0,0,4.049,3.1491,1.4047,1.9055,.62479627,.071000002,0,.99994051,0,1,1
1,1,0,4.0572,2.3721,1.1776,1.6224,.62437147,.071000002,0,.97531855,0,1,1
0,0,1,4.0583,3.1691,.9641999999999999,2.0425,.30199838,.071000002,0,.37803108,0,1,1
0,1,0,4.4439,4.0458,1.5341,1.9092,.17828934,.071000002,0,.47135165,0,0,1
0,1,0,4.4421,3.5413,1.605,2.4947,.21032844,.071000002,0,.88794291,0,0,1
0,1,0,4.0864,3.1733,.8463000000000001,1.7398,.24591328,.071000002,0,.26266494,0,0,1
0,1,1,4.0719,3.0546,1.0609,1.7318,.25838062,.071000002,0,.40136287,0,0,1
1,1,0,4.0714,2.2458,.8648,2.1688,.62720442,.071000002,0,.5907349,0,1,1
1,1,0,4.0771,2.2538,.8818,1.9871,.61457896,.071000002,0,.1769117,0,1,1
1,0,0,4.0635,2.372,.8914,2.0577,.64673311,.071000002,0,.026816703,0,1,1
1,0,0,4.2666,2.1912,1.4255,1.6853,.62072843,.071000002,0,.97453809,0,1,1
1,0,1,4.0493,2.2145,.8607,2.376,.63413429,.071000002,0,.15434921,0,1,1
1,0,0,4.2343,2.3318,.8265,1.8005,.59924901,.071000002,0,.092987888,0,1,1
0,1,0,4.1517,5.0973,1.8586,3.455,.267818,.071000002,0,.96393156,0,0,1
0,1,0,4.1084,3.876,1.3068,2.2088,.16169311,.071000002,0,.99978578,0,0,1
0,0,0,4.4147,5.3226,1.3061,2.5793,.20268649,.071000002,0,.62710911,0,0,1
1,0,0,4.1451,3.2273,1.2755,2.4052,.72372198,.071000002,0,.681445,0,1,1
1,1,0,4.1303,2.399,.9026,2.3638,.68762559,.071000002,0,.96192056,0,1,1
1,1,0,4.0879,2.3562,1.0123,1.7924,.71611333,.071000002,0,.76805395,0,1,1
0,0,0,4.466,3.2217,1.3727,2.007,.11258397,.071000002,0,.7811141,0,0,1
0,0,0,4.4403,3.6697,1.2558,1.8193,.18354616,.071000002,0,.82783198,0,1,1
1,0,0,4.4441,1.7376,1.2094,1.5101,.61742532,.071000002,0,.57648188,0,1,1
1,0,0,4.0642,2.4406,1.03,1.7593,.6038335,.071000002,0,.59250224,0,1,1
0,1,0,4.1805,2.4457,.821,1.7701,.51534504,.071000002,0,.29323047,0,1,1
1,1,0,4.2124,2.5866,1.0567,1.814,.47153646,.071000002,0,.53898841,0,1,1
0,0,0,4.2629,3.4783,1.0626,1.8478,.14124188,.071000002,0,.41854835,0,0,1
0,1,0,4.0736,3.2506,1.0015,2.0746,.090215042,.071000002,0,.3588213,0,0,1
0,1,0,4.4774,4.3978,1.11,2.047,.15173985,.071000002,0,.68028468,0,0,1
0,0,0,4.3406,2.6691,.947,1.7715,.3275584,.071000002,0,.4111917,0,1,1
0,0,1,4.084,2.5414,1.02,1.7918,.34321743,.071000002,0,.12638117,0,1,1
0,0,0,4.4379,3.3664,1.1802,2.0377,.18348768,.071000002,0,.44497657,0,1,1
0,0,1,4.0703,2.6462,1.0888,1.6139,.12883571,.071000002,0,.26214224,0,1,1
0,0,0,4.3453,3.6348,1.1172,2.0323,.16818172,.071000002,0,.48514545,0,0,1
0,1,0,4.3598,4.1259,1.0835,2.1936,.077205375,.071000002,0,.51405686,0,0,1
0,1,0,4.3563,4.4314,1.3196,2.3708,.10513509,.071000002,0,.91323,0,0,1
1,0,0,4.2918,2.5325,1.0241,1.8166,.63497835,.071000002,0,.863424,0,1,1
0,0,0,4.3839,3.6644,1.285,1.5759,.11439586,.071000002,0,.17722984,0,0,1
0,0,0,4.4385,4.3785,1.6147,2.2467,.10449477,.071000002,0,.88467872,0,0,1
0,0,0,4.1566,3.5543,1.1835,1.6111,.090169847,.071000002,0,.42081767,0,0,1
0,0,1,8.028499999999999,2.8717,.8504,1.633,.001519586,.106,0,.31320372,1,0,0
0,0,0,2.585,3.1149,1.0462,1.6656,.1392263,.106,0,.17600916,0,1,0
0,1,0,2.7547,2.8476,1.0862,1.6245,.29280865,.106,0,.35990909,0,1,0
0,0,0,7.9526,3.2241,1.3487,1.516,.0089278976,.106,0,.33829516,1,0,0
0,1,0,2.573,3.0154,.9505,1.8842,.24586086,.106,0,.22254807,0,1,0
1,1,0,2.6778,2.2579,.9871,1.851,.58118606,.106,0,.46673027,0,1,0
1,0,0,7.5753,2.4435,.9883999999999999,1.6657,.63920903,.106,0,.68168753,1,1,0
0,1,0,2.8292,2.8979,.9282,2.1748,.3792592,.106,0,.77733457,0,1,0
0,0,1,7.8184,3.2773,1.0655,1.8846,.043244142,.106,0,.80981743,1,1,0
0,0,0,2.8003,2.5893,.8816000000000001,1.7711,.32607225,.106,0,.33714545,0,1,0
0,0,1,7.8233,4.0759,1.7785,2.073,.0041031279,.106,0,.60318047,1,0,0
0,0,1,2.7194,3.1787,1.0862,1.7971,.23475765,.106,0,.44154748,0,1,0
0,1,0,2.7994,3.0943,1.0896,1.7396,.21886833,.106,0,.3282862,0,1,0
1,0,0,2.6067,2.6094,.9417,1.5703,.56926382,.106,0,.44130296,0,1,0
0,0,1,7.7928,2.8539,.7544,1.55,.00293861,.106,0,.43593094,1,1,0
0,1,0,2.7552,2.3033,.8417,1.8024,.44359756,.106,0,.45925626,0,1,0
0,0,1,8.0215,3.0788,.8717,1.6266,.053044938,.106,0,.26445943,1,1,0
0,0,1,2.6682,2.2231,.8512,1.772,.584364,.106,0,.53476381,0,1,0
0,1,0,8.141,3.1977,1.2648,2.1863,.090455726,.106,0,.99289733,1,0,0
0,1,0,2.8212,3.0042,.9006999999999999,1.8218,.21306536,.106,0,.44827852,0,1,0
0,1,0,7.871,3.2333,.8798,1.8286,.082784913,.106,0,.69777387,1,1,0
0,0,1,2.6622,3.5717,1.0478,1.7361,.13150777,.106,0,.28704816,0,1,0
0,0,0,7.8434,2.7153,.7822,1.5783,.24256061,.106,0,.56263304,1,1,0
1,1,1,2.5897,2.9694,1.217,2.8915,.67683518,.106,0,.94320071,0,1,0
1,1,0,7.6046,2.3318,.8431999999999999,1.7746,.61122215,.106,0,.68347597,1,1,0
1,0,1,2.567,2.5845,.9428,1.751,.61110246,.106,0,.93904477,0,1,0
0,0,0,7.7487,2.8945,.9278999999999999,1.8191,.29994708,.106,0,.42566395,1,1,0
0,1,0,2.6204,4.0193,1.2608,1.9078,.11799726,.106,0,.21346281,0,1,0
0,1,0,7.449,3.0926,1.1313,1.9557,.094670422,.106,0,.74036056,1,1,0
0,0,1,2.7937,2.8638,1.0558,1.6172,.25557503,.106,0,.45348349,0,1,0
0,0,1,7.4747,2.727,1.0708,1.6046,.14178495,.106,0,.33922219,1,1,0
0,0,1,2.6544,2.5677,.6714,1.4624,.002298071,.106,0,.2097557,0,1,0
0,1,1,8.093,4.5864,1.5269,2.2698,.040454715,.106,0,.5962947,1,1,0
0,0,0,2.5707,2.9365,1.1006,1.5412,.021900648,.106,0,0,0,1,0
0,1,0,7.3455,3.8283,1.315,1.8718,.11130624,.106,0,.25698435,1,1,0
0,0,0,2.6268,3.1625,1.1586,2.1571,.069247752,.106,0,.93132991,0,1,0
0,1,0,7.6257,2.7544,.9471000000000001,1.8225,.33353004,.106,0,.51716501,1,1,0
0,0,1,2.8096,2.5488,1.142,1.9412,.16753274,.106,0,.88315117,0,1,0
0,0,0,7.4138,2.9779,.9564,1.9203,.32836065,.106,0,.47255242,1,1,0
0,0,1,2.6961,3.1456,1.0667,1.6976,.11791106,.106,0,.42595404,0,1,0
0,0,1,7.4165,2.7652,1.0016,1.7339,.32443875,.106,0,.35510716,1,1,0
0,1,1,2.6087,4.1316,1.5106,1.7799,.056311574,.106,0,.19376759,0,1,0
0,0,1,2.6971,4.0883,1.0161,1.9618,.041711468,.106,0,.80782354,0,1,0
0,0,1,2.7448,4.3584,.9345,1.9051,.017706208,.106,0,.59736717,0,0,0
0,1,1,2.7398,3.6452,.9948,1.8458,.021424921,.106,0,.30772156,0,0,0
0,0,0,7.9889,3.8631,1.1831,1.9025,.087421305,.106,0,.56705987,1,0,0
0,1,1,2.8059,5.0021,1.6573,2.8543,.087244727,.106,0,.36226842,0,0,0
0,0,0,8.1296,4.6186,1.4554,2.4332,.11502411,.106,0,.91046143,1,1,0
1,1,1,7.3907,3.1643,1.2261,2.2948,.57865965,.106,0,.96412486,1,1,0
0,1,0,7.935,3.7649,1.0352,1.9074,.006931317,.106,0,.63941616,1,0,0
0,1,0,2.617,4.9361,1.8154,3.913,.088880397,.106,0,.923379,0,1,0
0,0,0,2.7289,4.7708,1.5392,2.74,.10736927,.106,0,1,0,1,0
0,0,0,2.6575,4.3071,1.3866,2.3793,.15443085,.106,0,.87738657,0,0,0
0,1,1,2.7272,4.1155,1.5541,1.9205,.051298033,.106,0,.26231715,0,0,0
0,1,0,2.8181,4.5265,1.4874,2.2098,.10737731,.106,0,.92972422,0,1,0
0,0,1,2.8679,3.4142,1.1806,1.825,.25485548,.106,0,.95975709,0,1,0
0,0,1,2.5867,3.0451,1.1259,1.6452,.18053891,.106,0,.83041537,0,1,0
0,0,0,2.7596,4.441,1.1935,2.1493,.070481226,.106,0,.78365892,0,1,0
0,1,0,2.7109,3.7228,1.32,1.7123,.022022206,.106,0,0,0,1,0
0,0,1,2.8144,4.5614,.8894,1.892,.0041571921,.106,0,.59766072,0,0,0
0,1,0,2.8225,3.3429,1.1461,1.608,.023985827,.106,0,.32542342,0,0,0
0,0,1,2.8011,3.2041,1.2307,1.6976,.067080788,.106,0,.75497663,0,1,0
0,1,1,2.7057,2.6194,.9538,1.6931,.35513914,.106,0,.27054515,0,1,0
1,1,0,2.6933,2.0264,.7885,1.6224,.62261909,.106,0,.58842373,0,1,0
0,1,0,2.5562,3.8213,1.0822,1.9871,.23315859,.106,0,.91229254,0,1,0
1,0,0,2.5678,2.258,.8687,1.8558,.70106715,.106,0,.66173714,0,1,0
1,1,1,2.5953,2.0767,.7638,1.5962,.57966322,.106,0,.74524438,0,1,0
0,1,0,2.5814,2.6558,.6975,1.3728,.071898967,.106,0,.36738759,0,1,0
0,1,0,2.7275,2.7686,.8501,1.7528,.2389001,.106,0,.28677872,0,1,0
0,1,0,2.7046,3.168,.4928,1.7292,.001700806,.106,0,.18687072,0,1,0
0,0,0,2.8001,3.1379,1.3831,1.6754,.094175205,.106,0,.204026,0,1,0
0,0,0,2.8432,2.9704,1.6678,1.659,.013716939,.106,0,.13479388,0,1,0
0,0,1,2.5973,3.1626,.4784,1.5831,.003349632,.106,0,.12985238,0,0,0
0,0,1,2.8348,4.5417,1.1522,2.7128,.057534922,.106,0,.97010589,0,0,0
0,1,0,2.6573,3.2053,1.1445,2.1187,.038911678,.106,0,1,0,0,0
0,1,0,2.8529,2.455,1.3232,1.4803,.1672684,.106,0,.99225402,0,1,0
0,0,0,2.7901,3.3264,1.8558,1.5369,.015447475,.106,0,.73629242,0,0,0
0,0,1,2.7149,3.6773,1.8407,1.6688,.0050462256,.106,0,.38490459,0,1,0
0,1,0,2.7934,3.0917,1.0821,1.6809,.048757788,.106,0,.84138697,0,0,0
0,1,0,2.8444,2.8923,.8112,1.5998,.012480664,.106,0,.18336888,0,1,0
0,1,0,2.8376,3.0364,1.9742,1.5969,.004863265,.106,0,0,0,0,0
0,1,0,2.6521,3.2468,1.0388,1.6858,.026582709,.106,0,.41313016,0,1,0
0,0,1,2.7835,2.6078,.7496,1.5254,.14891323,.106,0,.62367368,0,1,0
0,0,1,2.7633,3.9337,1.2835,2.2824,.055006694,.106,0,.95912826,0,1,0
0,0,0,2.7588,3.3104,.8754999999999999,1.6073,.031607945,.106,0,.39102399,0,1,0
0,0,1,2.6667,3.3237,.9871,1.7767,.079686508,.106,0,.57599574,0,1,0
0,0,0,2.6743,3.1257,.5914,1.77,.0026548998,.106,0,.75803792,0,1,0
0,1,0,2.6124,2.6571,1.0113,1.461,.001607717,.106,0,.27432817,0,1,0
0,1,0,2.8277,2.6591,.439,1.4736,.0079923607,.106,0,.32033935,0,1,0
0,0,1,2.8232,2.8964,1.6993,1.7283,.001452253,.106,0,.4589071,0,0,0
0,1,0,2.647,3.2396,.5208,1.5306,.005402342,.106,0,.27223215,0,0,0
0,0,0,2.5976,2.8175,.7208,1.472,.013281491,.106,0,.26413429,0,1,0
0,0,0,2.7636,3.0236,.1793,1.675,.001555942,.106,0,.49395639,0,0,0
0,1,0,2.7526,3.218,.6294,1.4889,.003160648,.106,0,.093586445,0,0,0
0,0,1,2.6574,3.494,1.068,1.9018,.038458645,.106,0,.75394267,0,1,0
0,1,0,2.8034,4.5418,1.9399,2.33,.011486053,.106,0,.47482726,0,1,0
0,1,0,2.8124,2.576,.9962,1.4288,.0016356141,.106,0,0,0,0,0
0,1,0,2.7805,2.8038,.9294,1.6872,.001582449,.106,0,.22454432,0,0,0
0,1,0,2.8118,2.3415,1.0043,1.5744,.067181163,.106,0,.99959391,0,1,0
0,1,1,2.7655,3.774,1.2657,1.9775,.0059302123,.106,0,.95341194,0,0,0
0,1,0,2.8599,3.7449,.8367,1.9455,.010105248,.106,0,.94123268,0,0,0
0,0,0,2.7456,4.0988,1.3175,2.0395,.0028409092,.106,0,.28456232,0,0,0
0,0,1,2.6163,3.7772,1.9139,2.1261,.0052746241,.106,0,.97645998,0,0,0
0,1,0,2.6139,3.727,.9371,1.7489,.011209304,.106,0,.59690315,0,0,0
0,0,1,2.6938,4.2877,2.975,2.2421,.00293266,.106,0,.52650952,0,0,0
0,0,1,2.5844,4.1685,2.161,2.3022,.0091317128,.106,0,.78390086,0,0,0
0,0,0,2.638,3.5963,2.1469,1.642,.002009098,.106,0,.11832543,0,0,0
0,1,1,17.7805,3.6626,1.1028,2.1602,.0060459496,.23199999,0,.58135337,0,0,0
0,1,0,17.7805,3.6626,1.1028,2.1602,.0060459496,.23199999,0,.58135337,0,0,0
0,0,1,17.7805,3.6626,1.1028,2.1602,.0060459496,.23199999,0,.58135337,1,0,0
0,0,1,17.4524,3.1485,1.1389,1.7953,.0064461054,.23199999,0,.68107831,0,0,0
0,1,1,17.4524,3.1485,1.1389,1.7953,.0064461054,.23199999,0,.68107831,0,0,0
0,0,1,17.4524,3.1485,1.1389,1.7953,.0064461054,.23199999,0,.68107831,1,0,0
0,0,1,17.3636,4.9123,2.352,2.7051,.017219931,.23199999,0,.78052527,0,0,0
0,1,0,17.3636,4.9123,2.352,2.7051,.017219931,.23199999,0,.78052527,0,0,0
0,1,0,17.3636,4.9123,2.352,2.7051,.017219931,.23199999,0,.78052527,1,0,0
0,0,0,17.5488,3.1862,1.0216,1.7504,.011260029,.23199999,0,.46597081,0,0,0
0,0,1,17.5488,3.1862,1.0216,1.7504,.011260029,.23199999,0,.46597081,0,1,0
0,0,1,17.5488,3.1862,1.0216,1.7504,.011260029,.23199999,0,.46597081,1,0,0
0,1,0,17.4914,5.017,2.5673,2.5159,.023371484,.23199999,0,.918598,0,0,0
0,0,0,17.4244,6.0066,2.1371,3.2024,.014055002,.23199999,0,.93170661,0,0,0
0,0,1,17.4244,6.0066,2.1371,3.2024,.014055002,.23199999,0,.93170661,0,0,0
0,0,1,17.3069,6.0784,3.6315,4.2258,.01209922,.23199999,0,.9234271,0,0,0
0,1,1,17.3069,6.0784,3.6315,4.2258,.01209922,.23199999,0,.9234271,0,0,0
0,1,1,17.3069,6.0784,3.6315,4.2258,.01209922,.23199999,0,.9234271,1,0,0
0,1,1,17.4451,4.2974,2.4039,2.3781,.025881194,.23199999,0,.99968964,0,0,0
0,1,0,17.4451,4.2974,2.4039,2.3781,.025881194,.23199999,0,.99968964,0,0,0
0,1,0,17.4451,4.2974,2.4039,2.3781,.025881194,.23199999,0,.99968964,1,0,0
0,0,0,17.5866,4.1503,1.829,2.1366,.035629399,.23199999,0,1,0,0,0
0,0,0,17.5866,4.1503,1.829,2.1366,.035629399,.23199999,0,1,1,0,0
0,0,0,17.4394,5.1948,1.9422,4.1946,.023848297,.23199999,0,1,0,1,0
0,1,0,17.4394,5.1948,1.9422,4.1946,.023848297,.23199999,0,1,0,0,0
0,1,1,17.4394,5.1948,1.9422,4.1946,.023848297,.23199999,0,1,1,0,0
0,1,0,17.7403,4.5372,1.4932,2.1932,.059660774,.23199999,0,.92040199,0,0,0
0,0,1,17.7403,4.5372,1.4932,2.1932,.059660774,.23199999,1,.92040199,0,0,0
0,1,1,17.7403,4.5372,1.4932,2.1932,.059660774,.23199999,0,.92040199,1,0,0
0,1,0,17.6032,3.5003,1.2704,1.6604,.065914154,.23199999,1,.9984234,0,1,0
0,0,1,17.6032,3.5003,1.2704,1.6604,.065914154,.23199999,1,.9984234,0,1,0
0,1,0,17.6032,3.5003,1.2704,1.6604,.065914154,.23199999,1,.9984234,1,1,0
0,1,0,17.8637,2.7396,1.1163,1.7578,.050331119,.23199999,1,1,0,1,0
0,0,0,17.8637,2.7396,1.1163,1.7578,.050331119,.23199999,0,1,0,1,0
0,0,0,17.8637,2.7396,1.1163,1.7578,.050331119,.23199999,0,1,1,1,0
0,0,0,17.7965,3.1181,1.3931,2.2282,.054134239,.23199999,1,1,0,1,0
0,0,0,17.7965,3.1181,1.3931,2.2282,.054134239,.23199999,1,1,0,1,0
0,0,0,17.7965,3.1181,1.3931,2.2282,.054134239,.23199999,0,1,1,1,0
1,1,0,17.5886,2.9874,1.2584,1.8506,.13016954,.23199999,0,.98218518,0,1,0
0,0,0,17.5886,2.9874,1.2584,1.8506,.13016954,.23199999,1,.98218518,0,1,0
1,1,1,17.5886,2.9874,1.2584,1.8506,.13016954,.23199999,0,.98218518,1,1,0
