gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,67,Widowed,No Qualification,Irish,White,"5,200 to 10,400",The North,Yes,25,25,Hand-Rolled
Female,35,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,30,30,Both/Mainly Hand-Rolled
Female,68,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,Other,White,"10,400 to 15,600",The North,No,NA,NA,
Female,57,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,12,Hand-Rolled
Male,37,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,8,8,Hand-Rolled
Female,37,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15,15,Packets
Male,43,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15,15,Packets
Male,59,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,28,Single,Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
Female,60,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,British,White,"Under 2,600",The North,No,NA,NA,
Male,37,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,40,40,Hand-Rolled
Male,34,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,73,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Male,24,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,36,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
Male,39,Separated,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,20,20,Both/Mainly Packets
Female,74,Married,No Qualification,English,White,Refused,The North,No,NA,NA,
Female,32,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15,15,Packets
Female,30,Married,Degree,Other,White,"15,600 to 20,800",The North,No,NA,NA,
Female,68,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,49,Married,No Qualification,Refused,Refused,Refused,The North,No,NA,NA,
Female,47,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
Male,30,Single,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,Yes,30,30,Hand-Rolled
Male,60,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15,8,Hand-Rolled
Male,72,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,73,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,48,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,20,4,Packets
Male,53,Divorced,Degree,English,White,"Above 36,400",The North,No,NA,NA,
Male,17,Single,GCSE/O Level,English,White,Refused,The North,No,NA,NA,
Female,58,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,34,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,44,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
Male,23,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,49,Married,Degree,British,White,"20,800 to 28,600",The North,No,NA,NA,
Male,30,Married,Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,61,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,38,Separated,A Levels,British,White,"10,400 to 15,600",The North,Yes,9,9,Hand-Rolled
Male,30,Single,Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,44,Married,A Levels,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,91,Widowed,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Male,40,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,No,NA,NA,
Female,63,Married,Degree,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,61,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,30,30,Packets
Female,40,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,57,Married,No Qualification,British,White,"Under 2,600",The North,Yes,15,15,Both/Mainly Packets
Female,41,Married,Degree,British,White,"28,600 to 36,400",The North,No,NA,NA,
Female,32,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,7,5,Hand-Rolled
Male,76,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,35,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,2,2,Packets
Male,70,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,75,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,74,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Male,49,Married,Degree,British,White,"Above 36,400",The North,No,NA,NA,
Female,56,Married,GCSE/O Level,British,White,"Under 2,600",The North,No,NA,NA,
Male,60,Married,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,72,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,17,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,23,Single,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Male,79,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,65,Separated,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,57,Married,Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
Male,79,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,71,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,87,Widowed,No Qualification,Refused,Refused,Unknown,The North,No,NA,NA,
Male,59,Married,Degree,English,White,"28,600 to 36,400",The North,Yes,40,40,Packets
Male,21,Single,ONC/BTEC,English,White,"10,400 to 15,600",The North,Yes,20,8,Packets
Female,66,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Male,58,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,No,NA,NA,
Male,38,Married,GCSE/O Level,English,White,"Above 36,400",The North,Yes,30,15,Both/Mainly Packets
Male,61,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,No,NA,NA,
Male,37,Separated,Degree,English,White,"Above 36,400",The North,No,NA,NA,
Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,34,Married,Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,20,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,77,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,20,20,Packets
Female,31,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,20,15,Hand-Rolled
Male,28,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,2,2,Packets
Female,36,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,16,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,12,12,Packets
Male,42,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,47,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,No,NA,NA,
Male,42,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,No,NA,NA,
Female,67,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,72,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,40,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,25,30,Packets
Female,34,Single,Degree,English,White,"Above 36,400",The North,No,NA,NA,
Male,75,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,NA,NA,
Female,35,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,40,Separated,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10,10,Packets
Female,46,Married,No Qualification,British,White,"15,600 to 20,800",The North,No,NA,NA,
Male,23,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,42,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,63,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,33,Married,A Levels,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,31,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,54,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,24,Single,Degree,English,White,"15,600 to 20,800",The North,Yes,12,8,Hand-Rolled
Female,80,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,77,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Male,51,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,NA,NA,
Male,27,Single,ONC/BTEC,English,White,Refused,The North,Yes,15,15,Packets
Female,75,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,24,Single,Degree,Other,White,"5,200 to 10,400",The North,No,NA,NA,
Male,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,50,50,Both/Mainly Packets
Female,20,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,NA,NA,
Male,18,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,25,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,55,Separated,No Qualification,English,Mixed,"5,200 to 10,400",The North,Yes,10,7,Both/Mainly Hand-Rolled
Female,29,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,Yes,10,5,Packets
Female,67,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,44,Single,No Qualification,British,White,"20,800 to 28,600",The North,No,NA,NA,
Male,47,Married,Degree,British,White,"20,800 to 28,600",The North,No,NA,NA,
Female,41,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
Female,31,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,5,0,Packets
Male,32,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
Female,68,Widowed,No Qualification,English,White,Refused,The North,No,NA,NA,
Female,84,Widowed,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
Male,67,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,49,Married,No Qualification,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,69,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,6,8,Hand-Rolled
Male,64,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,Yes,16,18,Packets
Male,62,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,NA,NA,
Male,52,Divorced,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Male,45,Married,ONC/BTEC,English,White,"28,600 to 36,400",The North,No,NA,NA,
Female,28,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15,15,Packets
Female,36,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,73,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,48,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
Male,67,Widowed,No Qualification,British,White,"10,400 to 15,600",The North,Yes,10,10,Both/Mainly Hand-Rolled
Female,38,Divorced,GCSE/O Level,British,White,"20,800 to 28,600",The North,No,NA,NA,
Female,40,Divorced,GCSE/CSE,English,White,"10,400 to 15,600",The North,Yes,5,0,Packets
Male,43,Single,Other/Sub Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,30,Single,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,70,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,82,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,21,Single,GCSE/O Level,English,White,"Under 2,600",The North,Yes,20,10,Packets
Male,67,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,NA,NA,
Female,21,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,Yes,40,15,Packets
Male,68,Separated,No Qualification,English,White,"5,200 to 10,400",The North,Yes,8,8,Packets
Male,41,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,10,Packets
Male,33,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,28,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
Female,75,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,5,5,Packets
Female,21,Single,Other/Sub Degree,English,White,"5,200 to 10,400",The North,Yes,5,10,Packets
Female,69,Divorced,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,33,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,10,4,Packets
Female,47,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
Female,44,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,35,35,Hand-Rolled
Female,74,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
Female,29,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,NA,NA,
Female,23,Married,A Levels,Other,Asian,"Under 2,600",The North,No,NA,NA,
Female,72,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
Female,31,Widowed,No Qualification,English,Asian,"5,200 to 10,400",The North,Yes,10,8,Packets
Female,48,Married,No Qualification,British,Asian,"Under 2,600",The North,No,NA,NA,
Female,29,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,72,Married,Other/Sub Degree,English,Black,"5,200 to 10,400",The North,No,NA,NA,
Female,52,Married,No Qualification,English,White,Unknown,The North,No,NA,NA,
Female,68,Single,Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,48,Married,Other/Sub Degree,British,Chinese,"15,600 to 20,800",The North,Yes,40,40,Both/Mainly Packets
Female,55,Married,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,NA,NA,
Female,23,Married,ONC/BTEC,British,White,"10,400 to 15,600",The North,Yes,7,7,Packets
Female,66,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,37,Married,GCSE/CSE,British,White,"Under 2,600",The North,Yes,10,10,Packets
Male,42,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
Female,46,Married,No Qualification,British,White,"10,400 to 15,600",The North,Yes,20,20,Hand-Rolled
Male,57,Married,Other/Sub Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
Female,36,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,NA,NA,
Female,51,Married,GCSE/O Level,Scottish,White,"20,800 to 28,600",The North,No,NA,NA,
Female,18,Single,GCSE/O Level,British,White,Refused,The North,Yes,8,8,Hand-Rolled
Female,69,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,NA,NA,
Male,30,Single,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
Male,51,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
Female,63,Married,No Qualification,British,Asian,"5,200 to 10,400",The North,No,NA,NA,
Female,31,Single,Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
Male,58,Single,No Qualification,British,White,"10,400 to 15,600",The North,No,NA,NA,
Male,50,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,Yes,15,15,Packets
Female,67,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20,20,Hand-Rolled
Male,20,Single,A Levels,English,White,Refused,The North,No,NA,NA,
Female,45,Single,Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
Female,26,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
Male,30,Single,Degree,British,White,"28,600 to 36,400",The North,No,NA,NA,
Female,43,Married,Degree,Other,White,Refused,The North,No,NA,NA,
